video_id,hour1_views,hour1_likes,hour1_comments,channel_id,publish_time,category,subscriber_count,avg_last10_views,duration_seconds,hook_probability,motion_intensity_3s,face_ratio_3s,cuts_first3s,hook_audio_intensity,tempo_bpm,hook_text_ratio
f4NidECQD-c,2036,15,0,UCFWXqTC6-dB7sFcD2Xtj_qA,2026-02-26T05:18:02Z,People & Blogs,35400,4215.2,24,0.3256974660865114,12.619379043579102,0.3333333333333333,0.6666666666666666,0.3144820630550384,60.09265988372093,0.0
axR5OeIYYDY,7917,191,1,UCnd6bIAtvK2wQ_KR2sDVEkQ,2026-02-26T05:12:50Z,People & Blogs,58500,30058.3,23,0.2084776157133715,16.883207321166992,1.0,0.0,0.088856041431427,126.04801829268293,0.0
HxnUB0M0uCY,8787,587,10,UCCQFP_5qJ5iKQFaDjQpBTUA,2026-02-26T05:09:28Z,People & Blogs,17300,49577.9,60,0.1505528151337533,1.63605797290802,0.3333333333333333,0.0,0.0817935317754745,120.18531976744184,1.0
WDslOyto4ig,1024,10,0,UCvBGUYYpfEVHtGI0gVi5g_g,2026-02-26T06:46:25Z,People & Blogs,15900,16651.9,11,0.0579319864900797,1.5204176902770996,0.0,0.0,0.2588264346122741,178.20581896551724,0.0
aPpR31qwLdk,489,35,1,UCEz8-cEwXscaF23yXfnvhFA,2026-02-26T07:34:28Z,Entertainment,28300,2296.8,23,0.1755330605212147,5.850055694580078,1.0,0.0,0.2305708229541778,143.5546875,1.0
TDxEgngw6tU,430,6,0,UCGYokcxQyqX5HO4xKHxHzvA,2026-02-26T07:31:53Z,Entertainment,13300,760.5,36,0.3611927761444771,8.930274963378906,0.0,0.0,0.1663329303264618,97.50884433962264,0.0
7kkxMv6Ap4A,994,29,1,UCcj7MIoVtfiS67CgGmw7eQQ,2026-02-26T08:00:05Z,Gaming,73100,3164.6,24,0.2390227480402058,1.704221487045288,0.0,0.0,0.1312374621629715,78.30255681818181,1.0
D4aKwqgN-Ys,472,0,0,UCR0efVS2E_0zRZXdcK3k1AA,2026-02-26T07:43:47Z,People & Blogs,78800,3563.3,52,0.1169677595222164,,,,,,
DMpQj1CH6b8,711,19,2,UCFLSDRHtS8u0YgzTbEpPR7A,2026-02-26T08:18:49Z,People & Blogs,25500,1453.8,47,0.3284368070953437,4.593137264251709,1.0,0.0,0.0232280567288398,151.99908088235293,1.0
mamnD_8gOwY,374,2,0,UC4wi8lp4K0Ae6s6Mpsmv_iQ,2026-02-26T08:15:02Z,People & Blogs,19300,235.9,11,0.6132152811936383,3.5357041358947754,0.0,0.6666666666666666,0.0,0.0,0.0
wYkKmYdW35U,1457,0,0,UCeLPTEHhcDa3aURgYphdWFQ,2026-02-26T08:40:27Z,Comedy,52200,2146.8,54,0.4042954658971086,10.602931022644045,0.3333333333333333,0.0,0.1087610125541687,90.66611842105264,0.0
